year, month,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,11,23,3,0.04,1,1,0,0.96,0,2,128,2,23,59,0,44
2019,11,151,36,15.29,0,11.83,0,8.88,1,0,2009,985,0,333,0,691
2019,11,663,178,32.78,4.9,96.93,0,43.39,2,2,9422,1780,455,4107,0,3080
2019,11,103,21,9.9,0,4.49,0,6.61,0,0,961,373,0,236,0,352
2019,11,525,85,34.81,0.73,25.51,0,23.96,1,0,3907,1619,92,833,0,1363
2019,11,87,18,10.28,0,3.88,0,3.84,0,1,873,529,0,111,0,233
2019,11,48,11,6.72,0,1.4,0,2.88,0,0,506,281,0,49,0,176
2019,11,40,7,3.85,0,1.26,0,1.89,0,0,261,105,0,44,0,112
2019,11,56,10,5.58,0,3.51,0,0.91,0,0,291,163,0,85,0,43
2019,11,228,38,16.7,0,15.56,0,5.74,0,1,2332,905,0,485,0,942
2019,11,193,39,16.35,0,6.04,0,16.61,3,0,2085,1014,0,185,0,886
2019,11,679,109,34.21,1.95,28.34,1.64,42.85,0,0,5116,1292,87,792,113,2832
2019,11,75,22,13.38,0,3.03,0,5.58,0,0,1170,830,0,80,0,260
2019,11,121,22,11.06,1,4.84,0,5.1,0,0,1339,543,457,163,0,176
2019,11,378,74,25.33,1.14,21.77,0,25.76,3,0,3764,1278,20,688,0,1778
2019,11,12,3,1.24,0,1,0,0.76,0,0,149,29,0,94,0,26
2019,11,381,50,22.62,0.18,11.18,0,16.02,2,0,2246,923,11,332,0,980
2019,11,1207,153,75.86,0.41,37.62,0,39.1,6,0,9613,4898,79,1198,0,3438
2019,11,49,4,2.2,0,1.8,0,0,0,0,142,102,0,40,0,0
2019,11,1224,226,87.06,1.55,82.01,0.06,55.32,8,6,12318,5193,282,2593,1,4249
2019,11,3469,577,173.76,4.55,208.86,1.14,188.69,20,10,37283,14846,460,6788,32,15157
2019,11,66,23,9.63,1.55,3.72,0,8.09,0,0,1365,568,104,209,0,484
2019,11,1902,252,62.78,3.16,107.15,0,78.91,20,2,15889,4294,207,5484,0,5904
2019,11,75,15,6.56,0,4.54,0,3.9,0,0,592,225,0,123,0,244
2019,11,49,5,3.55,0,0,0,1.45,0,0,255,145,0,0,0,110
2019,11,91,23,8.25,0,3.65,0,11.11,2,0,1518,501,0,151,0,866
2019,11,427,64,32.68,0.86,12.26,0,18.2,3,0,2693,1357,66,483,0,787
2019,11,1401,197,96.42,0.75,35.42,0.05,64.36,5,0,10886,5441,40,1142,8,4255
2019,11,56,7,0.96,0,2.44,0,3.59,0,0,448,67,0,79,0,302
2019,11,424,70,24.26,0,18.42,0,27.31,0,0,3474,1204,0,495,0,1775
2019,11,95,21,10.5,0,3.54,0,6.96,0,0,979,400,0,84,0,495
2019,11,3932,460,215.26,5.67,92.23,4.59,142.26,10,2,31729,16196,351,3158,105,11919
2019,11,171,35,13.91,0,8.35,0,12.75,0,0,1741,742,0,243,0,756
2019,11,30,3,1.96,0,0.21,0,0.83,0,0,179,157,0,7,0,15
2019,11,544,82,27.26,8.14,24.52,0,22.08,5,0,5696,921,2250,1043,0,1482
2019,11,558,94,41.53,0.3,24.02,0,28.15,1,0,5614,2614,71,899,0,2030
2019,11,53,7,3.36,0,2.25,0,1.39,0,0,190,96,0,52,0,42
2019,11,77,8,1.34,0,2.92,0,3.75,0,0,465,129,0,148,0,188
2019,11,143,28,12.46,0,10.36,0,5.18,1,1,1621,967,0,344,0,310
2019,11,173,33,12.11,0,11.62,0,9.26,0,0,1386,542,0,344,0,500
2019,11,197,37,15.49,0.52,7.83,0,13.17,0,0,2477,1180,63,274,0,960
2019,11,281,53,18.33,0.14,17.77,0,16.76,0,0,2289,786,16,560,0,927
2019,11,5532,758,205.79,19.86,292.65,3.37,236.32,103,16,66829,18946,4109,19986,231,23557
2019,11,174,27,15.93,0,4.46,0,6.61,0,0,1053,564,0,106,0,383
2019,11,432,71,21.53,0.19,20.02,0,29.27,1,0,2993,721,3,530,0,1739
2019,11,288,41,21.03,1.5,7.59,0,10.89,1,2,2264,1133,89,286,0,756
2019,11,3635,491,203.01,5.06,117.88,0,165.05,20,3,40059,15532,438,3778,0,20311
2019,11,4540,685,239.2,9.3,228.82,2.39,205.29,13,2,58341,32532,792,7247,93,17677
2019,11,637,75,35.82,2.26,11.79,1.9,23.24,2,0,4385,1870,216,411,87,1801
2019,11,76,14,8.71,0,1.69,0,3.59,0,0,626,423,0,43,0,160
2019,11,114,27,9.22,0,13.97,0,3.81,2,1,965,405,0,411,0,149
2019,11,204,22,9.34,0,4.76,0,7.9,0,0,1554,939,0,125,0,490
2019,11,79,13,4.9,0,1,0,7.1,0,0,465,196,0,26,0,243
2019,11,958,136,60.55,0.03,33.75,0,41.67,6,0,7331,3367,4,1137,0,2823
2019,11,229,30,12.21,0.17,4.19,0,13.43,0,0,1903,589,4,100,0,1210
2019,11,139,20,7.59,0,7.25,0,5.16,0,0,891,400,0,172,0,319
2019,11,434,56,23.84,0.98,16.7,0,14.49,1,1,2946,1075,139,564,0,1168
2019,11,714,122,40.86,0.82,44.32,0,36,4,9,6628,2498,54,1304,0,2772
2019,11,674,112,49.53,0.73,30.14,1,30.6,1,2,5392,2283,36,1171,39,1863
2019,11,117,17,6.65,0,3.04,0,7.31,0,0,778,161,0,92,0,525
2019,11,30,1,0.47,0,0,0,0.53,0,0,57,27,0,0,0,30
2019,11,69,12,5.04,0,1.51,0,5.45,0,0,596,161,0,41,0,394
2019,11,596,97,33.75,1.11,29.04,0.04,33.05,3,2,5249,1685,58,840,8,2658
2019,11,1132,207,49.25,0.14,117.1,1.17,39.34,7,7,11892,2929,31,6161,28,2743
2019,11,305,44,10.98,1.64,19.14,0,12.24,0,0,2631,1039,126,616,0,850
2019,11,269,43,24.41,0.07,7.23,0,11.29,0,0,2627,1746,8,228,0,645
2019,11,298,38,15.99,0,7.77,0,14.25,1,1,1451,579,0,222,0,650
2019,11,340,41,16.14,0.5,9.16,0.47,14.73,1,0,1743,584,8,270,8,873
2019,11,503,64,24.71,0.94,24.44,0,13.91,3,3,3330,1606,285,664,0,775
2019,11,92,9,4.95,0,0.88,0,3.16,0,0,353,221,0,18,0,114
2019,11,701,100,43.29,3.78,21.05,0,31.87,4,0,5536,2411,314,744,0,2067
2019,11,92,7,3.31,0,2.29,0,1.4,0,0,1427,865,0,73,0,489
2019,11,44,2,2,0,0,0,0,0,0,79,79,0,0,0,0
2019,11,97,10,6.42,0,2.39,0,1.19,0,0,435,285,0,95,0,55
2019,11,981,108,45.47,1.57,22.25,0,38.71,3,1,5383,2410,67,608,0,2298
2019,11,257,46,24.71,0.64,10.86,0,9.79,0,1,2386,1151,21,471,0,743
2019,11,309,77,27.22,1.85,29.32,0,18.62,1,0,3355,1232,133,795,0,1195
2019,11,82,17,9,0,1.88,0,6.12,0,0,735,426,0,70,0,239
2019,11,72,20,11.88,0,1.54,0,6.57,1,0,1157,602,0,70,0,485
2019,11,33,10,4.14,0,0.51,0,5.35,0,0,401,232,0,21,0,148
2019,11,9,1,1,0,0,0,0,0,0,31,31,0,0,0,0
2019,11,49,7,1,3.55,0.95,0,1.5,3,0,172,17,82,28,0,45
2019,11,1138,177,45.12,5.2,65.15,12.51,49.02,15,1,6859,1976,131,1678,450,2624
2019,11,59,5,1.6,0,2.4,0,1,0,0,279,141,0,107,0,31
2019,11,224,46,11.7,1.24,21.16,0,11.9,2,0,1673,456,50,544,0,623
2019,11,65,11,2.62,2.68,2.75,0,2.94,3,1,412,61,136,89,0,126
2019,11,63,14,3.89,0,4.17,0,5.94,0,0,851,250,0,159,0,442
2019,11,55,13,5.11,0,3.28,0,4.61,0,0,334,101,0,71,0,162
2019,11,207,29,7.17,0,15.84,0,5.99,0,0,1286,426,0,534,0,326
2019,11,58,6,0,0,1.82,0,4.18,0,1,198,0,0,48,0,150
2019,11,152,24,11.91,0.93,5.71,0,5.44,5,0,1529,920,109,146,0,354
2019,11,65,16,8.01,1,6.99,0,0,0,0,545,329,19,197,0,0
2019,11,56,8,1.3,0,1.87,0,4.84,1,0,226,55,0,42,0,129
2019,11,25,8,1,0,5.65,0,1.35,0,0,393,89,0,188,0,116
2019,11,30,8,3.15,2,0,0,2.85,0,0,458,237,115,0,0,106
2019,11,147,25,10.62,0,11.38,0,3,0,0,924,519,0,344,0,61
2019,11,144,39,7.18,0,24.66,0,7.16,6,0,1423,357,0,678,0,388
2019,11,117,26,5.37,0,14.54,0,6.09,0,0,733,167,0,352,0,214
2019,11,30,4,1.83,0,2.17,0,0,0,0,136,76,0,60,0,0
2019,11,318,55,0.45,1,48.67,0,4.88,0,1,2885,13,79,2644,0,149
2019,11,302,33,12.16,0,12.11,0,8.72,1,0,1536,1021,0,317,0,198
2019,11,124,31,10.21,1,13.15,0,6.65,0,1,1282,509,93,380,0,300
2019,11,139,19,10.61,1,2.3,0,5.09,1,0,860,568,27,59,0,206
2019,11,280,47,12.65,1.73,20.41,2,10.21,0,0,2688,1185,161,684,128,530
2019,11,142,21,7.56,0,8.16,0,5.28,0,0,994,513,0,265,0,216
2019,11,58,10,0.68,0,7.19,0,2.14,0,0,283,21,0,182,0,80
2019,11,30,5,1.97,1,2.03,0,0,0,0,181,97,44,40,0,0
2019,11,408,59,17.64,1,29.17,0.32,10.88,0,0,2746,1018,75,1058,7,588
2019,11,338,34,8.11,2.9,11.08,0,11.91,3,4,1617,812,81,296,0,428
2019,11,196,20,4.71,1.91,10.84,0,2.54,0,0,1577,836,72,578,0,91
2019,11,172,17,8.06,0,3.45,0,5.48,3,1,837,452,0,83,0,302
2019,11,638,104,26.83,2,36.93,0,38.24,3,0,4591,1345,128,1192,0,1926
2019,11,1565,230,51.43,4.97,95.57,1,77.03,15,5,11027,3468,261,2677,42,4579
2019,11,148,21,6.05,2.04,9.89,0,3.03,0,0,984,330,147,339,0,168
2019,11,59,7,0,2,2.25,0,2.75,0,0,312,0,158,56,0,98
2019,11,143,17,3.63,0,9.89,0,3.48,0,0,552,107,0,290,0,155
2019,11,30,3,1,0,2,0,0,0,0,144,101,0,43,0,0
2019,11,88,18,3.75,0.05,4.59,0,9.61,0,0,1058,364,7,163,0,524
2019,11,89,14,2.88,0,7.53,0,3.59,0,0,775,290,0,294,0,191
2019,11,206,27,6.67,0.01,8.19,0,12.13,2,1,1621,618,1,257,0,745
2019,11,328,25,3.88,0.28,15.09,0,5.75,1,1,1408,382,11,521,0,494
2019,11,26,4,1.24,0,1.13,0,1.63,0,0,208,69,0,21,0,118
2019,11,30,2,0.09,0,0.06,0,1.85,0,0,77,4,0,2,0,71
2019,11,56,5,0,1,0.31,0,3.69,3,0,217,0,38,16,0,163
2019,11,141,7,3.36,0,0.66,0,2.97,0,0,297,176,0,15,0,106
2019,11,259,47,12.67,1.86,20.36,0,12.11,4,0,2566,789,149,1003,0,625
2019,11,56,4,2.08,0,1.02,0,0.91,3,0,195,99,0,28,0,68
2019,11,1567,186,38.86,1,77.67,0,68.47,14,0,7934,2221,25,2104,0,3584
2019,11,66,5,2.5,1,1.5,0,0,0,1,336,169,127,40,0,0
2019,11,225,36,10.46,0.89,15.34,0,9.3,0,1,1229,469,25,322,0,413
2019,11,30,6,1,1.24,3.76,0,0,0,0,344,38,162,144,0,0
2019,11,56,9,2.21,0.67,0.71,0,5.41,2,0,420,66,33,27,0,294
2019,11,170,26,7.95,0,6.84,0,11.21,1,1,1173,543,0,156,0,474
2019,11,33,7,2.63,0,3.37,0,1,0,0,251,62,0,137,0,52
2019,11,30,1,1,0,0,0,0,0,0,124,124,0,0,0,0
2019,11,747,124,29.94,0.86,58.7,0,34.5,8,6,4901,1383,24,1732,0,1762
2019,11,59,14,3.51,0,8.88,0,1.61,0,1,479,150,0,241,0,88
2019,11,30,3,0.73,0,2.27,0,0,0,0,60,19,0,41,0,0
2019,11,79,8,3.41,1.39,3.2,0,0,0,1,325,162,71,92,0,0
2019,11,5507,938,174.98,10.99,487.39,1.27,263.36,41,10,43798,11828,779,16182,35,14974
2019,11,1758,328,45.09,0.18,186.97,0,95.75,22,1,21247,3881,20,11787,0,5559
2019,11,85,6,1.25,0,1.32,0,3.44,0,1,205,30,0,26,0,149
2019,11,591,85,21.76,1.45,30.2,0,31.59,7,2,4488,1465,92,894,0,2037
2019,11,58,11,2.1,0.98,4.58,0,3.35,0,0,540,97,164,128,0,151
2019,11,222,24,10.77,0,5.21,0,8.02,1,0,987,480,0,156,0,351
2019,11,359,36,16.64,2,8.7,0,8.67,2,0,1381,657,136,239,0,349
2019,11,57,7,0.6,0,3.01,0,3.39,0,0,207,12,0,82,0,113
2019,11,41,9,1.06,1,5.53,0,1.41,0,0,306,26,48,148,0,84
2019,11,30,3,0.92,0,0.08,0,2,0,0,91,36,0,3,0,52
2019,11,56,10,1.56,1,3.4,0.3,3.73,2,0,423,43,42,84,6,248
2019,11,56,8,0,0,5.28,0,2.72,1,0,256,0,0,167,0,89
2019,11,21,2,1,0,1,0,0,0,0,164,99,0,65,0,0
2019,11,60,10,6.07,0,2.54,0,1.39,0,0,365,187,0,99,0,79
2019,11,269,53,31.93,0,9.16,0,11.9,0,1,2538,1538,0,293,0,707
2019,11,194,33,12.9,0,7.73,0,12.38,0,1,1475,573,0,252,0,650
2019,11,266,78,22.33,0,7.68,0,47.99,0,0,4952,1487,0,285,0,3180
2019,11,104,19,11.4,0,2.16,0,5.44,0,0,1085,724,0,74,0,287
2019,11,4618,1037,280.36,4.43,414.56,0.12,337.54,6,1,65737,22310,433,19923,7,23064
2019,11,126,16,5.81,0,1.48,0,8.71,0,0,705,274,0,38,0,393
2019,11,90,21,10.1,1.71,2.54,0,6.65,1,0,1291,787,146,82,0,276
2019,11,342,65,37.12,0,8.01,0,19.87,0,0,4170,2231,0,257,0,1682
2019,11,79,19,5.18,0,10.07,0,3.75,0,6,835,300,0,358,0,177
2019,11,144,22,9.6,0,1.66,0,10.74,0,0,1120,426,0,40,0,654
2019,11,173,28,14.04,0,5.39,0,8.57,0,0,1558,658,0,130,0,770
2019,11,130,17,8.88,1,1.35,0,5.76,0,0,838,530,23,38,0,247
2019,11,135,36,16.73,0,9.46,0,9.81,0,1,1928,933,0,293,0,702
2019,11,838,141,66.79,0,32.49,0,41.72,0,2,7932,3620,0,988,0,3324
2019,11,81,20,7.72,1.16,7.4,0,3.72,0,0,1033,523,64,236,0,210
2019,11,50,10,4.61,0,4.5,0,0.88,0,0,391,214,0,162,0,15
2019,11,98,15,10.49,0,2.02,0,2.48,0,0,1050,678,0,264,0,108
2019,11,791,290,60.24,0,182.21,1,46.55,0,2,16425,3407,0,9474,35,3509
2019,11,2157,435,192.04,1.26,83.07,0,158.63,0,1,24221,10122,88,2767,0,11244
2019,11,359,96,40.69,0,24.15,1.38,29.79,0,6,6616,2522,0,891,69,3134
2019,11,60,6,4.12,0,1.03,0,0.85,0,0,262,179,0,50,0,33
2019,11,256,42,24.24,0.89,4.84,0,12.02,0,0,2865,1844,56,158,0,807
2019,11,3295,523,200.95,3.58,143.75,0.92,173.8,5,4,30074,12351,492,4982,57,12192
2019,11,346,53,15.62,0,22.31,0,15.07,0,2,2843,979,0,794,0,1070
2019,11,592,103,28.62,1,60.45,0,12.93,0,1,4618,1683,85,1873,0,977
2019,11,443,97,32.87,0,41.9,0,22.23,0,0,5511,2467,0,1838,0,1206
2019,11,655,115,35.45,0.51,29.31,0.78,48.94,0,4,7711,3120,52,963,36,3540
2019,11,1655,277,101.49,0.01,47.96,0.68,126.86,1,0,16430,6644,1,1913,15,7857
2019,11,84,15,8.38,0,3.68,0,2.94,0,2,611,336,0,105,0,170
2019,11,174,31,18.51,0,6.51,0,5.98,0,0,1789,894,0,380,0,515
2019,11,80,8,3.32,0,2.37,0,2.3,0,1,356,159,0,86,0,111
2019,11,30,4,1.64,0.7,1.66,0,0,0,0,176,38,78,60,0,0
2019,11,224,51,19.67,0,21.47,0,9.87,2,2,3552,893,0,1865,0,794
2019,11,90,19,13.08,0,2.36,0,3.57,0,0,1629,1234,0,136,0,259
2019,11,778,146,72.14,0,27.47,0,46.39,0,1,8992,4719,0,939,0,3334
2019,11,61,9,2.3,0,1.87,0,4.83,0,2,586,145,0,51,0,390
2019,11,262,42,23.5,0,11.23,0,7.27,0,0,2367,1325,0,486,0,556
2019,11,90,14,6.36,0,5.54,0,2.1,0,0,515,246,0,179,0,90
2019,11,155,24,11.65,0,4.68,0,7.66,0,0,1884,1203,0,128,0,553
2019,11,70,15,5.74,0,5.25,0,4.01,0,0,785,349,0,216,0,220
2019,11,20,6,2.59,0.6,2.12,0,0.68,0,0,333,200,45,62,0,26
2019,11,120,21,10.89,0,4.87,1.46,3.78,0,1,1123,779,0,149,27,168
